ACSL1	CPT1B
ACSL1	CPT1C
ACSL1	PPARA
ACSL1	PPARG
ACSL1	RXRA
ACSL1	RXRB
ACSL1	RXRG
ACSL3	CPT1A
ACSL3	CPT1B
ACSL3	CPT1C
ACSL3	PPARA
ACSL3	PPARG
ACSL3	RXRA
ACSL3	RXRB
ACSL3	RXRG
ACSL3	SREBF1
ACSL4	CPT1A
ACSL4	CPT1B
ACSL4	CPT1C
ACSL4	PPARA
ACSL4	PPARG
ACSL4	RXRA
ACSL4	RXRB
ACSL4	RXRG
ACSL5	CPT1A
ACSL5	CPT1B
ACSL5	CPT1C
ACSL5	PPARA
ACSL5	PPARG
ACSL5	RXRA
ACSL5	RXRB
ACSL5	RXRG
ACSL6	CPT1A
ACSL6	CPT1B
ACSL6	CPT1C
ACSL6	PPARA
ACSL6	PPARG
ACSL6	RXRA
ACSL6	RXRB
ACSL6	RXRG
ACSM3	HOXA9
ACSS2	SIRT1
ACSS2	SREBF1
ACSS2	SREBF2
ACT	AVIL
ACT	VIL1
ACT	VILL
ACTA1	ACTC1
ACTA1	ACTG2
ACTA1	ACTN1
ACTA1	ACTN4
ACTA1	ADAM17
ACTA1	AGRN
ACTA1	AKT1
ACTA1	AP2A1
ACTA1	AP2A2
ACTA1	ARHGEF6
ACTA1	CASP3
ACTA1	CDC42
ACTA1	CDH1
ACTA1	CDH3
ACTA1	CFL1
ACTA1	CHRM1
ACTA1	CHRNA1
ACTA1	CLTA
ACTA1	CLTB
ACTA1	CRKL
ACTA1	CTCF
ACTA1	CTNNA1
ACTA1	CTNNA2
ACTA1	CTNNB1
ACTA1	DAG1
ACTA1	DIAPH1
ACTA1	DKFZP686N1815
ACTA1	DMD
